,Review, Academic Positive, Academic Negative,Academic Neutral,Academic Score, Placements Positive, Placements Negative,Placements Neutral,Placements Score, Infrastructure Positive, Infrastructure Negative,Infrastructure Neutral,Infrastructure Score
0,"Everything is good at this college. Wi-Fi facility is available at normal speed. Classrooms are average, and the library is well spaced. There is a 24 hours open medical facility. Labs are placed accordingly. Sports and game...",0.104,0.0,0.896,0.1366,0.0,0.0,1.0,0.0,0.052,0.0,0.948,0.0683
1,"This year, in 2018, many of our seniors got placed in most of the reputed companies like Infosys, Wipro, Tech Mahindra, etc. The highest placement rate of the college is 93%, and the lowest is 82%. The role of students is to crack the GATE examination easily and conceptually.",0.0,0.0,0.0,0.0,0.053,0.0835,0.8634999999999999,-0.010299999999999976,0.0,0.0,0.0,0.0
2,"By the time I left the college, outer infrastructure was under construction. Classrooms are very spacious with well-maintained tables and chairs. The college also has good and big laboratories. Even a hostel is...",0.293,0.0,0.707,0.4404,0.0,0.0,0.0,0.0,0.09766666666666667,0.0,0.9023333333333333,0.1468
3,"Placements in our college are average. When I was doing my B.Tech here, most of the students got placed through off-campus drives. Companies visit every year for placements, and they normally prefer students from the mechanical branch. College somehow guarantees 100% placements every year.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,The infrastructure of our college was good. Our college looks like Taj Mahal. Roads were good. Our college provided facilities like a library and playground. There were many chambers for different training sections. The campus was Wi-Fi enabled. I suggest join...,0.263,0.0,0.737,0.3612,0.0,0.0,1.0,0.0,0.1315,0.0,0.8685,0.1806
5,Our college provides good placement opportunities. It also offers extra courses and training for placements. Robotics and computer programme are taught for the students to get placed. They always focus on the company and talent of students.,0.0,0.0,1.0,0.0,0.204,0.0,0.796,0.273,0.0,0.0,0.0,0.0
6,The entire campus is Wi-Fi enabled. Even the Wi-Fi speed is really good in hostel rooms. A good number of well-designed classrooms are available here. Even the sports facilities are available for student...,0.206,0.0,0.794,0.24695,0.0,0.0,0.0,0.0,0.16849999999999998,0.0,0.8315,0.24665
7,The college has a dedicated placement cell. A good number of companies visit the campus for campus recruitment drives every year. Last year about 94% of the students were placed in good companies with good packages. Most of the placed students were offered different roles in the technical domain.,0.0,0.0,1.0,0.0,0.24,0.0,0.76,0.41325,0.276,0.0,0.724,0.4939
8,The infrastructure of the college looks fabulous. Classrooms are well designed. It has a central library and fully functional labs for all departments. Hostel rooms are good. College hostel is enabled with free Wi-Fi facili...,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.306,0.0,0.6940000000000001,0.30605000000000004
9,"The placement record of this college is up to standards. Companies like Machino Plastic, Qualitas Global, and various IT companies are the main recruiters here. More than 30% of students get placed every year. It has a functional placement cell, though it's not much effective.",0.0,0.0,0.0,0.0,0.038,0.05525,0.90675,-0.002799999999999997,0.0,0.0,0.0,0.0
10,"The infrastructure of the main building is good. Hostels are in very poor condition. On the order of our principal, the sweeping staff who used to clean our rooms stopped their wo...",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2155,0.0485,0.736,0.32135
11,"The college provides placements to even those students who don't have good grades. The average salary would be around Rs. 12,000-15,000 per month, which is not sufficient enough to live in cities where the cost of living is more than the salary earned. Students got placed well through off-campus drives or on their own.",0.0,0.0,0.0,0.0,0.057999999999999996,0.05566666666666667,0.8863333333333333,-0.02266666666666667,0.087,0.0,0.913,0.1366
12,The infrastructure of our college was good. Our co...,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"Placements in our college were not good. However, placements are a little bit good for the IT sector. Placements for computer science and IT departments in their core subjects are not up to the standards, and even a single student didn't place from our college. Almost 10-20 students out of 400-500 students were placed in good companies. Our college campus and Gandhi Group campus provides an excellent opportunity for the students of Gandhi group.",0.0,0.0,1.0,0.0,0.24566666666666667,0.0,0.7543333333333333,0.5281666666666667,0.302,0.0,0.698,0.7579
14,"However, college looks beautiful from outside, but its infrastructure is not that good. Wi-Fi connection is not bad. Labs lack in basic equipment. The quality of the food served in...",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365,0.635,-0.3182
15,"Placements are not good. Very few companies visit to hire students and offered a very low salary of Rs. 14,000-16,000 per month, which is not enough to sustain daily life in big cities like Bangalore. Only 30-50% of the students got placed. Most of the companies are IT-based and very few core company visit our college.",0.0,0.0,0.0,0.0,0.026,0.024999999999999998,0.949,0.0092,0.078,0.075,0.847,0.0276
16,"Top-class infrastructure with all facilities like Labs, library, sports, games, medical facilities. Hostel rooms are spacious, neat, with good quality food. Didn't face any infra related issue during my tenure at th...",0.185,0.0,0.815,0.3612,0.0,0.0,0.0,0.0,0.321,0.0,0.679,0.5354
17,"Almost 100% placement for 2014 batch in top IT companies like Infosys, Hexaware, Cognizant, Accenture. Used to get pre-placement training classes which helped the students to clear the interviews. Students were involved in an internship as well. There was, of course, a placement cell.",0.0835,0.0,0.9165,0.1909,0.16175,0.0,0.83825,0.2914,0.0,0.0,0.0,0.0
18,"The infrastructure of our college is very much well maintained, providing many facilities to the students like Gym, Music c...",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,0.0,0.777,0.5965
19,"Well its my final year in this college and from the past three years the placement record of our is very good. Around 90% of the students are been placed at the end of the final year. Many reputed companies like TCS, Infosys, Congnizent and Wipro recruits students from our college by Off and On campus method. The highest of the package provided is around 6-7 Lacs per annum.",0.0,0.0,0.0,0.0,0.08125,0.0,0.91875,0.25225000000000003,0.116,0.0,0.884,0.3612
20,Gandhi engineering college is one of the most beautiful college in Bhubaneswar it is also known for its best infrastructure among all the colleges in Odisha State. This college is not less than from any five star hotel from its both interior and exterior look. 24*7 Wi-Fi facility is available to all parts inside the campus. For day scholar as well as hostelite Central mess facility is available inside the campus. College has its own different grounds for different sports football cricket basketb...,0.0595,0.071,0.8694999999999999,-0.05135,0.0,0.0,0.0,0.0,0.03966666666666666,0.04733333333333333,0.9129999999999999,-0.03423333333333333
21,Among all colleges in Bhubaneswar gandhi engineering college is known for his successful placement. More than 94% of total students are placed every year. Most of IT companies comes for placement in this college. The highest package offered in placement is 600000pa and the lowest is 200000 pa.,0.0,0.0,0.0,0.0,0.0565,0.0445,0.899,0.051025,0.0,0.0,0.0,0.0
22,"1. We have got well-equipped lab with all the instruments, 24 hrs Wi-Fi and 24X7 l...",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,"1. 95% Placements. 2. The highest 85k, the lowest 22k, Average 32k was offered. 3. BYJU'S was the top recruiter. 4. Software Engineer in companies like TCS, Infosys, Software Developer, Minor Testing and Automated Testing were the roles offered. 5. The highest 10.2 L PA, the lowest 2.6L PA, Average 3.8L PA was the package. 6. 60% got an internship in Mindfire Solutions, Kavetion System, Quantumware Solutions.",0.0,0.0,0.0,0.0,0.1424,0.0804,0.7772,0.027980000000000022,0.0,0.0,0.0,0.0
24,1. 24...,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"1. 92% of the students got placements. 2. The highest 6.5lpa average 3.5 lpa the lowest 2.4 lpa was the salary offered. 3. Ibm, tcs, wipro, mindtrees, infosys, wipro infrastructure, cavision, alok industry, cgi, stay in front, bitbee technology, ehsaan technology, spring, way to capital, etc. recruited the students. 4. Project engineer, trainee engineer, associate engineer, software engineer, software developer etc. were the roles offered. 6. 95% of the students got internship opportunity.",0.0,0.0,0.0,0.0,0.04542857142857143,0.027285714285714285,0.9272857142857144,0.005671428571428573,0.0,0.0,1.0,0.0
26,"The hostel facility was good. They offer double sharing room for the students. Toilets were cleaned regularly. Food served was worst, and chapatis were machine-made, and it wasn't very easy to chew and digest. Morning breakfast was also poor. Classrooms were good. The library was not good, and only a few prescribed books were available. Most of the students couldn't get the required book. Wi-Fi facility was not good, and download speed was poor. They do not give the password for the students, bu...",0.0,0.179,0.821,-0.3412,0.143,0.0,0.857,0.21075,0.2596,0.11739999999999999,0.623,0.05800000000000001
27,"Only 5% of the students got placed in low-quality companies, and most of those were startups. The highest salary package offered was 4 LPA. But many companies offered a salary package of 1.2 LPA. Many students got selected for a sales job, and they were still uncertain about the salary they offered.",0.0,0.0,0.0,0.0,0.0,0.03025,0.96975,-0.074,0.0,0.0,0.0,0.0
28,"Almost 40% of the students from our batch got placed in various companies, with an adequate salary package. Packages depend upon the branch of engineering and companies, at most students got a salary of Rs. 25,000 per month in IT and marketing companies and in the core, it was around Rs. 15,000 to 20,000 per month. Some of the companies were good enough like Cognizant, Simplex Infrastructure and Tech Mahindra. Some of the students also got selected in TCS via the exams conducted and all. Average...",0.0,0.0,0.0,0.0,0.137,0.0,0.863,0.2953333333333333,0.0,0.0,0.0,0.0
29,"The infrastructure is very good. They provide a lot of facilities like free Wi-Fi, library, digital classroom, and many more. Talking about the hostel, the hostel facility is secure and clean to live but the mess could be better. In my...",0.326,0.0,0.674,0.7003,0.326,0.0,0.674,0.7003,0.307,0.0635,0.6295,0.59285
30,"The placement is quite good in Gandhi Engineering College. The average package of civil department is 3.5 LPA. But for the Computer Science students, the package is higher than this. Around 70% of the student got placement as well as internship from college itself.",0.0,0.0,1.0,0.0,0.106,0.0,0.8939999999999999,0.191475,0.0,0.0,0.0,0.0
31,"Facilities are not quite good in our college, and the infrastructure is good bu...",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"Almost 96% of the students get placed from our college. In our college, the highest salary package offered is 4.5 LPA, while the lowest salary package offered is 2.5 LPA. The average salary package offered is 3.5 LPA. Recruiting companies in our college are very low-level companies. There are no fixed companies for placements. About 55% of the students got internships from our course in companies like Wipro, TCS, etc.",0.143,0.0,0.857,0.3612,0.02383333333333333,0.06683333333333334,0.9093333333333334,-0.052766666666666656,0.0,0.0,0.0,0.0
33,"Our campus is highly equipped with Wi-Fi, labs of every category, classrooms and a huge library which consists...",0.126,0.0,0.874,0.3182,0.0,0.0,0.0,0.0,0.126,0.0,0.874,0.3182
34,"The maximum number of students get placed from our college. Top companies visit our campus for placements as students of our college are best among top engineering colleges. Top roles offered here are mechanical engineer, programmer and designer. Up to 95% of the students got placed with the highest salary package of 8 LPA in our course, and the lowest salary package offered was 3.5 LPA.",0.0,0.094,0.906,-0.3818,0.15875,0.0235,0.8177500000000001,0.16900000000000004,0.342,0.0,0.658,0.7783
35,"Gandhi Engineering College is the most popular college in Odisha. Our college is beautiful, and it has one centra...",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,"About 95% of the students from our course got placed. The salary package of up to 10 LPA is offered by companies. Top recruiting companies here are Hexaware, Cognizant, Collabera and TCS. About 80% of the students get offers for internships in top multi-national companies. As a computer science engineering student, you can get placed in a good company after completing your graduation.",0.0835,0.0,0.9165,0.10115,0.09180000000000002,0.0,0.9082000000000001,0.16899999999999998,0.167,0.0,0.833,0.2023
37,"Facilities are quite good in our college, and the infrastructure is also good. Our college provides a lot of facilities like free Wi-Fi, a library, digital classrooms and many more. Wi-Fi facility is good, but many times, it fluctuates. Classrooms are moderate, but the library is nice. There are advanced facilities as all things are moderate and good. Our college has a canteen, medical facilities, a doctor and also sports and games. The hostel facility is secure and clean to stay, but the mess c...",0.21833333333333335,0.0,0.7816666666666666,0.42406666666666665,0.0,0.0,0.0,0.0,0.23816666666666667,0.034333333333333334,0.7276666666666668,0.32198333333333334
38,"About 95% of the students from our course got placed. A salary package of up to 10 LPA is offered by companies. Top recruiting companies here are Hexaware, Cognizant, Collabera and TCS. About 80% of the students get offers for internships in top multinational companies. As a computer science engineering student, you can get placed in a good company after completing your graduation.",0.0835,0.0,0.9165,0.10115,0.09180000000000002,0.0,0.9082000000000001,0.16899999999999998,0.167,0.0,0.833,0.2023
39,The college is good but the management is not so good as I'm a basketball player and the basketball court need to repair from last 1 year and its not done yet. And sometime the hostel food management used to make trouble but if you will not be staying in hostel it will be best.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.0325,0.7805,0.70715
40,"As the college is good but the only problem i faced that the placement, as i am in mechanical engineering branch so no proper placement offers by them so just all about these all are managed and no problem about attendance.",0.0,0.0,0.0,0.0,0.039,0.29,0.671,-0.9293,0.0,0.0,0.0,0.0
41,College atmosphere is helping to study. The hostel atmosphere is also like that. If you are studying in a government college then there comes some politics. At so. E point which is good and but thinkiin another way which is harm.,0.153,0.0,0.847,0.148,0.0,0.0,0.0,0.0,0.294,0.0,0.706,0.3612
42,Faculties of my college mostly gives emphasis on covering the whole syllabus than to making it clear to each and every student which is most important. In the beginning of the semester the faculties take it down the syllabus very slowly and in the mid of the semester catches up the speed and forcefully drags the syllabus to the end.,0.082,0.0245,0.8935,0.19649999999999998,0.0,0.0,0.0,0.0,0.082,0.0245,0.8935,0.19649999999999998
43,"Food and classrooms are not good,sometimes they give good foods and sometimes too bad.and in classrooms their is only fans,as per the high fees they should provide ac.and for first year students the classroom is on 4th floor",0.079,0.095,0.8260000000000001,-0.07655,0.079,0.095,0.8260000000000001,-0.07655,0.079,0.095,0.8260000000000001,-0.07655
44,For better placement. Good teaching and skill development course. Good atmosphere of the campus. The good things about my college is spots and management to take bold and strong full decision making ability.,0.367,0.0,0.633,0.4404,0.592,0.0,0.408,0.4404,0.42,0.0,0.58,0.4404
45,the college is quite good and uses sunflower oil in their food provided to students which is good for health according to college.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"Of course I have positive impact on my college.good faculties have a rich knowledge, co-operative students,faculties,H.O.D.My college is like a family for me where I study,get a lot of knowledges, a lot of technical knowledge and a lot of fun also.",0.37966666666666665,0.0,0.6203333333333333,0.6718666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,In the examination of 12. I got 93% and got chance to admission on one of most reputed college in Gujarat. It took 2 week process of admission and at the date of 4 august 2016 I was getting into college. at the date of july 2020 my final year complete. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,As my personal opinion. The management of my Government Engineering College is so good. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Actually I like the environment and the infrastructure very much. It's a very neat and clean classroom and hostel . Food is very good. Teaching staff also very friendly. But having high restrictions. Good quality teaching. It's good to go there but you don't have extra curriculum activities. Very rare functions and all. Management is rude. If you can't fill the fee by their deadline you won't able to sit in the semister exam . So think twice before joining.,0.3305,0.0,0.6695,0.48895,0.0,0.0,0.0,0.0,0.374,0.0,0.626,0.55045
50,"Only last year student eligible for placement.
Some average company only came there for job .
3-4 lack average you can get as job
10%
I got a job off campus and I'm now in Cognizant.",0.0,0.0,0.0,0.0,0.0,0.03966666666666666,0.9603333333333334,-0.10606666666666666,0.0,0.119,0.881,-0.3182
51,The college is good but the management is not so good as I'm a basketball player and the basketball court need to repair from last 1 year and its not done yet. And sometime the hostel food management used to make trouble but if you will not be staying in hostel it will be best.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.0325,0.7805,0.70715
52,"As the college is good but the only problem i faced that the placement, as i am in mechanical engineering branch so no proper placement offers by them so just all about these all are managed and no problem about attendance.",0.0,0.0,0.0,0.0,0.039,0.29,0.671,-0.9293,0.0,0.0,0.0,0.0
53,College atmosphere is helping to study. The hostel atmosphere is also like that. If you are studying in a government college then there comes some politics. At so. E point which is good and but thinkiin another way which is harm.,0.153,0.0,0.847,0.148,0.0,0.0,0.0,0.0,0.294,0.0,0.706,0.3612
54,Faculties of my college mostly gives emphasis on covering the whole syllabus than to making it clear to each and every student which is most important. In the beginning of the semester the faculties take it down the syllabus very slowly and in the mid of the semester catches up the speed and forcefully drags the syllabus to the end.,0.082,0.0245,0.8935,0.19649999999999998,0.0,0.0,0.0,0.0,0.082,0.0245,0.8935,0.19649999999999998
55,"Food and classrooms are not good,sometimes they give good foods and sometimes too bad.and in classrooms their is only fans,as per the high fees they should provide ac.and for first year students the classroom is on 4th floor",0.079,0.095,0.8260000000000001,-0.07655,0.079,0.095,0.8260000000000001,-0.07655,0.079,0.095,0.8260000000000001,-0.07655
56,For better placement. Good teaching and skill development course. Good atmosphere of the campus. The good things about my college is spots and management to take bold and strong full decision making ability.,0.367,0.0,0.633,0.4404,0.592,0.0,0.408,0.4404,0.42,0.0,0.58,0.4404
57,the college is quite good and uses sunflower oil in their food provided to students which is good for health according to college.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,"Of course I have positive impact on my college.good faculties have a rich knowledge, co-operative students,faculties,H.O.D.My college is like a family for me where I study,get a lot of knowledges, a lot of technical knowledge and a lot of fun also.",0.37966666666666665,0.0,0.6203333333333333,0.6718666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,In the examination of 12. I got 93% and got chance to admission on one of most reputed college in Gujarat. It took 2 week process of admission and at the date of 4 august 2016 I was getting into college. at the date of july 2020 my final year complete. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,As my personal opinion. The management of my Government Engineering College is so good. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Actually I like the environment and the infrastructure very much. It's a very neat and clean classroom and hostel . Food is very good. Teaching staff also very friendly. But having high restrictions. Good quality teaching. It's good to go there but you don't have extra curriculum activities. Very rare functions and all. Management is rude. If you can't fill the fee by their deadline you won't able to sit in the semister exam . So think twice before joining.,0.3305,0.0,0.6695,0.48895,0.0,0.0,0.0,0.0,0.374,0.0,0.626,0.55045
62,"Only last year student eligible for placement.
Some average company only came there for job .
3-4 lack average you can get as job
10%
I got a job off campus and I'm now in Cognizant.",0.0,0.0,0.0,0.0,0.0,0.03966666666666666,0.9603333333333334,-0.10606666666666666,0.0,0.119,0.881,-0.3182
